interval_from,interval_to,eobrowserStats_B0_min,eobrowserStats_B0_max,eobrowserStats_B0_mean,eobrowserStats_B0_stDev,eobrowserStats_B0_sampleCount,eobrowserStats_B0_noDataCount,land_type
2023-03-01,2023-03-02,306.5,306.5,306.5,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.0,306.0,306.0,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.45001220703125,306.45001220703125,306.45001220703125,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.1199951171875,304.1199951171875,304.1199951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.79998779296875,305.79998779296875,305.79998779296875,0.0,65536,0,101.0
2023-03-01,2023-03-02,307.6199951171875,307.6199951171875,307.6199951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,314.3699951171875,314.3699951171875,314.3699951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.3900146484375,305.3900146484375,305.3900146484375,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.2300109863281,306.2300109863281,306.2300109863281,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.6000061035156,305.6000061035156,305.6000061035156,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.7799987792969,304.7799987792969,304.7799987792969,0.0,65536,0,101.0
2023-03-01,2023-03-02,310.29998779296875,310.29998779296875,310.29998779296875,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.0899963378906,304.0899963378906,304.0899963378906,0.0,65536,0,101.0
2023-03-01,2023-03-02,303.4800109863281,303.4800109863281,303.4800109863281,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.3299865722656,304.3299865722656,304.3299865722656,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.6199951171875,304.6199951171875,304.6199951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.6400146484375,305.1099853515625,304.97413444519196,0.21305041005766015,65536,0,101.0
2023-03-01,2023-03-02,306.739990234375,306.739990234375,306.739990234375,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.4800109863281,305.4800109863281,305.4800109863281,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.9100036621094,304.9100036621094,304.9100036621094,0.0,65536,0,101.0
2023-03-01,2023-03-02,303.760009765625,303.760009765625,303.760009765625,0.0,65536,0,101.0
2023-03-01,2023-03-02,309.5299987792969,309.5299987792969,309.5299987792969,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.989990234375,305.989990234375,305.989990234375,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.5199890136719,304.5199890136719,304.5199890136719,0.0,65536,0,101.0
2023-03-01,2023-03-02,310.3999938964844,310.3999938964844,310.3999938964844,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.3500061035156,305.3500061035156,305.3500061035156,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.3399963378906,304.3399963378906,304.3399963378906,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.67999267578125,305.67999267578125,305.67999267578125,0.0,65536,0,101.0
2023-03-01,2023-03-02,308.04998779296875,308.04998779296875,308.04998779296875,0.0,65536,0,101.0
2023-03-01,2023-03-02,303.1600036621094,303.1600036621094,303.1600036621094,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.8299865722656,306.8299865722656,306.8299865722656,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.6400146484375,306.6400146484375,306.6400146484375,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.8699951171875,306.8699951171875,306.8699951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,303.4100036621094,303.4100036621094,303.4100036621094,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.1000061035156,306.1000061035156,306.1000061035156,0.0,65536,0,101.0
2023-03-01,2023-03-02,308.0899963378906,308.0899963378906,308.0899963378906,0.0,65536,0,101.0
2023-03-01,2023-03-02,303.6400146484375,303.6400146484375,303.6400146484375,0.0,65536,0,101.0
2023-03-01,2023-03-02,307.0299987792969,307.0299987792969,307.0299987792969,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.6199951171875,305.6199951171875,305.6199951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.6300048828125,306.6300048828125,306.6300048828125,0.0,65536,0,101.0
2023-03-01,2023-03-02,308.5299987792969,308.5299987792969,308.5299987792969,0.0,65536,0,101.0
2023-03-01,2023-03-02,307.3399963378906,307.3399963378906,307.3399963378906,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.5799865722656,305.5799865722656,305.5799865722656,0.0,65536,0,101.0
2023-03-01,2023-03-02,307.5199890136719,307.5199890136719,307.5199890136719,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.20001220703125,305.20001220703125,305.20001220703125,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.95001220703125,305.95001220703125,305.95001220703125,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.69000244140625,305.69000244140625,305.69000244140625,0.0,65536,0,101.0
2023-03-01,2023-03-02,301.8299865722656,301.8299865722656,301.8299865722656,0.0,65536,0,101.0
2023-03-01,2023-03-02,306.57000732421875,306.57000732421875,306.57000732421875,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.2200012207031,305.2200012207031,305.2200012207031,0.0,65536,0,101.0
2023-03-01,2023-03-02,305.70001220703125,305.70001220703125,305.70001220703125,0.0,65536,0,101.0
2023-03-01,2023-03-02,307.1199951171875,307.1199951171875,307.1199951171875,0.0,65536,0,101.0
2023-03-01,2023-03-02,304.9700012207031,304.9700012207031,304.9700012207031,0.0,65536,0,101.0
